date_id,date,year,month,month_name,quarter,week,day_of_week,is_weekend
20171104,2017-11-04,2017,11,November,4,44,Saturday,1
20171016,2017-10-16,2017,10,October,4,42,Monday,0
20171013,2017-10-13,2017,10,October,4,41,Friday,0
20171102,2017-11-02,2017,11,November,4,44,Thursday,0
20171029,2017-10-29,2017,10,October,4,43,Sunday,1
20171011,2017-10-11,2017,10,October,4,41,Wednesday,0
20171030,2017-10-30,2017,10,October,4,44,Monday,0
20171010,2017-10-10,2017,10,October,4,41,Tuesday,0
20171026,2017-10-26,2017,10,October,4,43,Thursday,0
20171101,2017-11-01,2017,11,November,4,44,Wednesday,0
20171017,2017-10-17,2017,10,October,4,42,Tuesday,0
20171002,2017-10-02,2017,10,October,4,40,Monday,0
20170908,2017-09-08,2017,9,September,3,36,Friday,0
20150917,2015-09-17,2015,9,September,3,38,Thursday,0
20151002,2015-10-02,2015,10,October,4,40,Friday,0
20170808,2017-08-08,2017,8,August,3,32,Tuesday,0
20150817,2015-08-17,2015,8,August,3,34,Monday,0
20150923,2015-09-23,2015,9,September,3,39,Wednesday,0
20151023,2015-10-23,2015,10,October,4,43,Friday,0
20150711,2015-07-11,2015,7,July,3,28,Saturday,1
20160508,2016-05-08,2016,5,May,2,18,Sunday,1
20160402,2016-04-02,2016,4,April,2,13,Saturday,1
20160814,2016-08-14,2016,8,August,3,32,Sunday,1
20160518,2016-05-18,2016,5,May,2,20,Wednesday,0
20160505,2016-05-05,2016,5,May,2,18,Thursday,0
20160421,2016-04-21,2016,4,April,2,16,Thursday,0
20160701,2016-07-01,2016,7,July,3,26,Friday,0
20161217,2016-12-17,2016,12,December,4,50,Saturday,1
20160830,2016-08-30,2016,8,August,3,35,Tuesday,0
20160727,2016-07-27,2016,7,July,3,30,Wednesday,0
20160717,2016-07-17,2016,7,July,3,28,Sunday,1
20160706,2016-07-06,2016,7,July,3,27,Wednesday,0
20160909,2016-09-09,2016,9,September,3,36,Friday,0
20160826,2016-08-26,2016,8,August,3,34,Friday,0
20170116,2017-01-16,2017,1,January,1,3,Monday,0
20160928,2016-09-28,2016,9,September,3,39,Wednesday,0
20160903,2016-09-03,2016,9,September,3,35,Saturday,1
20160916,2016-09-16,2016,9,September,3,37,Friday,0
20161020,2016-10-20,2016,10,October,4,42,Thursday,0
20170107,2017-01-07,2017,1,January,1,1,Saturday,1
20161010,2016-10-10,2016,10,October,4,41,Monday,0
20160906,2016-09-06,2016,9,September,3,36,Tuesday,0
20170106,2017-01-06,2017,1,January,1,1,Friday,0
20161228,2016-12-28,2016,12,December,4,52,Wednesday,0
20160905,2016-09-05,2016,9,September,3,36,Monday,0
20160902,2016-09-02,2016,9,September,3,35,Friday,0
20161119,2016-11-19,2016,11,November,4,46,Saturday,1
20160914,2016-09-14,2016,9,September,3,37,Wednesday,0
20161105,2016-11-05,2016,11,November,4,44,Saturday,1
20170114,2017-01-14,2017,1,January,1,2,Saturday,1
20160917,2016-09-17,2016,9,September,3,37,Saturday,1
20161114,2016-11-14,2016,11,November,4,46,Monday,0
20161211,2016-12-11,2016,12,December,4,49,Sunday,1
20161122,2016-11-22,2016,11,November,4,47,Tuesday,0
20160831,2016-08-31,2016,8,August,3,35,Wednesday,0
20160216,2016-02-16,2016,2,February,1,7,Tuesday,0
20151231,2015-12-31,2015,12,December,4,53,Thursday,0
20160326,2016-03-26,2016,3,March,1,12,Saturday,1
20160102,2016-01-02,2016,1,January,1,53,Saturday,1
20180127,2018-01-27,2018,1,January,1,4,Saturday,1
20160103,2016-01-03,2016,1,January,1,53,Sunday,1
20160214,2016-02-14,2016,2,February,1,6,Sunday,1
20151128,2015-11-28,2015,11,November,4,48,Saturday,1
20151211,2015-12-11,2015,12,December,4,50,Friday,0
20161212,2016-12-12,2016,12,December,4,50,Monday,0
20171227,2017-12-27,2017,12,December,4,52,Wednesday,0
20160212,2016-02-12,2016,2,February,1,6,Friday,0
20160315,2016-03-15,2016,3,March,1,11,Tuesday,0
20160328,2016-03-28,2016,3,March,1,13,Monday,0
20160314,2016-03-14,2016,3,March,1,11,Monday,0
20151118,2015-11-18,2015,11,November,4,47,Wednesday,0
20151220,2015-12-20,2015,12,December,4,51,Sunday,1
20160910,2016-09-10,2016,9,September,3,36,Saturday,1
20160907,2016-09-07,2016,9,September,3,36,Wednesday,0
20151111,2015-11-11,2015,11,November,4,46,Wednesday,0
20151213,2015-12-13,2015,12,December,4,50,Sunday,1
20160107,2016-01-07,2016,1,January,1,1,Thursday,0
20171214,2017-12-14,2017,12,December,4,50,Thursday,0
20160316,2016-03-16,2016,3,March,1,11,Wednesday,0
20160206,2016-02-06,2016,2,February,1,5,Saturday,1
20180128,2018-01-28,2018,1,January,1,4,Sunday,1
20151218,2015-12-18,2015,12,December,4,51,Friday,0
20170117,2017-01-17,2017,1,January,1,3,Tuesday,0
20171213,2017-12-13,2017,12,December,4,50,Wednesday,0
20171226,2017-12-26,2017,12,December,4,52,Tuesday,0
20160127,2016-01-27,2016,1,January,1,4,Wednesday,0
20180130,2018-01-30,2018,1,January,1,5,Tuesday,0
20161117,2016-11-17,2016,11,November,4,46,Thursday,0
20161229,2016-12-29,2016,12,December,4,52,Thursday,0
20160310,2016-03-10,2016,3,March,1,10,Thursday,0
20171124,2017-11-24,2017,11,November,4,47,Friday,0
20161210,2016-12-10,2016,12,December,4,49,Saturday,1
20161026,2016-10-26,2016,10,October,4,43,Wednesday,0
20161019,2016-10-19,2016,10,October,4,42,Wednesday,0
20161106,2016-11-06,2016,11,November,4,44,Sunday,1
20160929,2016-09-29,2016,9,September,3,39,Thursday,0
20161107,2016-11-07,2016,11,November,4,45,Monday,0
20161112,2016-11-12,2016,11,November,4,45,Saturday,1
20161126,2016-11-26,2016,11,November,4,47,Saturday,1
20161209,2016-12-09,2016,12,December,4,49,Friday,0
20161002,2016-10-02,2016,10,October,4,39,Sunday,1
20161006,2016-10-06,2016,10,October,4,40,Thursday,0
20161219,2016-12-19,2016,12,December,4,51,Monday,0
20161011,2016-10-11,2016,10,October,4,41,Tuesday,0
20161027,2016-10-27,2016,10,October,4,43,Thursday,0
20161005,2016-10-05,2016,10,October,4,40,Wednesday,0
20160901,2016-09-01,2016,9,September,3,35,Thursday,0
20161202,2016-12-02,2016,12,December,4,48,Friday,0
20161008,2016-10-08,2016,10,October,4,40,Saturday,1
20161018,2016-10-18,2016,10,October,4,42,Tuesday,0
20160829,2016-08-29,2016,8,August,3,35,Monday,0
20151013,2015-10-13,2015,10,October,4,42,Tuesday,0
20150810,2015-08-10,2015,8,August,3,33,Monday,0
20150814,2015-08-14,2015,8,August,3,33,Friday,0
20170729,2017-07-29,2017,7,July,3,30,Saturday,1
20170905,2017-09-05,2017,9,September,3,36,Tuesday,0
20170628,2017-06-28,2017,6,June,2,26,Wednesday,0
20150615,2015-06-15,2015,6,June,2,25,Monday,0
20170706,2017-07-06,2017,7,July,3,27,Thursday,0
20170715,2017-07-15,2017,7,July,3,28,Saturday,1
20170913,2017-09-13,2017,9,September,3,37,Wednesday,0
20151003,2015-10-03,2015,10,October,4,40,Saturday,1
20170902,2017-09-02,2017,9,September,3,35,Saturday,1
20161116,2016-11-16,2016,11,November,4,46,Wednesday,0
